pack_id,pack_name,frequency,mean_cosine_distance_to_co_shared
262850,Artist Support 🌸✨,13,0.4561153512734633
139904,Literary Agents on BlueSky!,13,0.48986440438490647
347952,Jessica Elena's Art & Drawing Starter Pack,13,0.5190340234683111
43162,Rose Macabre's Starter Pack,13,0.5960832834243774
138587,@‪claudia07.bsky.social‬'s Starter Pack,13,0.4610421840961163
192680,Brooklyn Bailey Markowski's Starter Pack,13,0.5656373546673701
86257,Orange and BlueSky,13,0.5535866984954247
351031,#NUFC Starter Pack #1,13,0.46666319095171416
262849,OC Artists Pack! 🌷,13,0.4045554216091449
107655,SILICONE SLINGERS,13,0.5945122012725244
35851,Swifties🫶🏼,12,0.8251545131206512
54958,The Jungle,12,0.8778459578752518
202572,RadiantRito's Starter Pack,12,0.5282824138800303
299506,#NAFOWelcomeFellas,12,0.5732533037662506
327183,‪jockstraplicker.bsky.social‬'s Starter Pack,12,0.6045935451984406
244219,Tom Joad™️ Protest Pack # 1,12,0.5421878596146902
22503,Andrew Optimisey's Starter Pack,12,0.7348424345254898
32085,John Yates,12,0.7059096445639929
266381,REVERSING HARMFUL CLIMATE ROLLBACK,12,0.5460386921962103
121096,Evertonians only pack,12,0.5172572533289591
77802,Spotlighting Indivisible,12,0.7144749959309896
293878,Scottish independence pack,12,0.46205853919188183
24787,Women in Tech,12,0.81950410703818
58410,Nonprofit Trailblazer Community,12,0.6009722997744879
