k_u,k_v,cosine
2,11,0.023383765341767435
3,476,0.03993443135417824
9,13657,0.03827349706585279
76,199,0.09203646452108472
18,199,0.09341985155230766
108,520,0.022817801998998917
2,15,0.08319835858945614
4,66,0.12056517885595457
9,42,0.11953018816459615
2,39,0.03893568438595577
15,39,0.04845509584122995
5,18,0.06218286613417345
2,8,0.08595839914197631
5,7,0.07771019288839597
3,3,0.0
7,1164,0.06281916369439709
5,14,0.043065525215393294
7,75,0.1883650638160922
7,9,0.1459854906106665
30,101,0.18718971468769582
20,101,0.1367375731650939
13,570,0.21431980004146256
26,570,0.24655289545445708
17,570,0.21773839006814505
12,570,0.10625967740973241
4,5,0.02106297763106788
472,490,0.0806005245123749
3,3,0.03067511531918344
12,13,0.20386840582692106
5,6,0.22162229028245972
3,38,0.12775378285602237
3,9,0.11972350426585406
7,11,0.0
22,283,0.10419698050080325
22,71,0.08093639500175656
6,2799,0.13712524591174263
5,30,0.07989734323771996
10,22,0.18948528733818357
2,431,0.02145758236722221
248,431,0.14507121691440153
62,968,0.10273764690925369
6,17,0.07032517663410187
4,11,0.19128201900448896
13,689,0.052536043989075236
20,689,0.10554300457734589
80,1016,0.10008070519705747
4,10,0.020850247290275608
4,38,0.056920007129158345
5,98,0.016832963315033832
8,9,0.04866909603222456
2,2245,0.16703921685267892
9,111,0.18348523344106515
48,5145,0.03467557811323624
52,209,0.13727000483596086
14,52,0.06623319635812006
2,22,0.04936527982161469
16,177,0.11157719989377539
2,9,0.027311331519405877
2,33,0.06182655024422011
2,8,0.0613414402438766
2,6,0.0330900858045489
3,7,0.09874845349314001
3,34,0.04141895139550465
19,367,0.04961740008972177
4,9,0.1550654835039783
34,190,0.17002894447360012
2,7,0.01595393163669299
16,63,0.05474343238308666
53,63,0.22170108510536515
6,9,0.12301785180563629
14,20,0.08753204468398476
7,79,0.14853097920530395
2,8,0.08655071033051662
3,89,0.1417677913917509
6,1968,0.07129003407693196
5,1968,0.13921416985309587
6,14,0.09905588872827784
23,209,0.24487073978724394
5,27,0.1408292679874455
34,2407,0.14312712043763443
16,32,0.041092414752285235
7,31,0.11818063586540666
4,1316,0.06971288152965971
3,1316,0.08140934805633118
304,1316,0.03641610873921737
194,1316,0.05543569490436112
13,27,0.21243973418838932
2,11,0.009852581737945055
6,8,0.05270401209224877
5,22,0.010656407075276018
7,14,0.032861089429428655
2,5,0.10421078863911376
3,42,0.12789845981984538
7,42,0.12591216509229675
10,628,0.0266458215239954
8,628,0.03121225547063078
72,119,0.2478065577699633
4,32,0.029823932836149866
9,15,0.03613765119614955
5,15,0.051693535368793786
16,66,0.020782849530525106
5,39,0.041578964137179035
7,83,0.16887994333282472
15,161,0.08930534323566265
3,4,0.09200418155874103
2,7,0.16715899634319098
2,5149,0.043398481102103634
13,93,0.053356110390575064
3,6,0.03750698592130934
13,57,0.0732800377597758
44,57,0.023450830942286352
3,10,0.10605488778957549
4,12,0.1289556717296384
6,19,0.2108072524691466
69,294,0.07273358246326164
12,27,0.17639456175156792
9,9,0.056867952512028586
31,61,0.2615529632107536
2,2,0.08778154194859157
5,11,0.2527694601210744
7,10,0.039625576493861246
9,50,0.25150362620311983
3,50,0.03905415023508238
37,50,0.2813912356533615
11,28,0.17684306875343167
2,7,0.006980781146622329
20,111,0.016069580684132903
33,111,0.22280800955100122
2,2,0.09572794071325312
2,3,0.030995172889808055
6,12,0.057899149801298545
2,5,0.0033159769660268397
2,2,0.008918286842589109
4,37,0.024959774877156973
3,11,0.13615046585439086
9,35312,0.1152276402689
7,21,0.14156998378461072
16,364,0.09913006106684727
42,364,0.09736483807338928
9,364,0.021710803063559655
5,17,0.21086866749800948
4,58,0.15632381730347697
165,1067,0.003101156905716587
26,165,0.09307372375308696
16,3721,0.1081378227549109
4,4,0.16450970679730936
7,94,0.11390493198902951
4,19,0.03414752140958495
8,16,0.05028982290941094
4,16,0.034620356210461285
3,7,0.06233648483452047
2,4618,0.14900099484914842
95,4618,0.14219447036147734
39,4618,0.12811690181943328
2,19,0.06409586975457726
2,7,0.13865752491028682
4,7,0.2338360758543386
166,558,0.046748378551694274
558,714,0.06949000555075768
7,558,0.07643989402626572
3,11,0.0
34,68,0.026938174914685576
10,22,0.05530099332229092
8,16,0.03849641209228482
16,97,0.10633298109327857
2,4,0.08153285253959257
37,250,0.12829255427320108
12,393,0.011906573704932697
6,69,0.04349548218610063
2,6,0.15908682742228036
3,12141,0.03325278245790559
5,83,0.14142877513812135
25,36,0.20183763814886624
19,134,0.04083708150125941
2,3,0.14526705028993173
19,59,0.06570893114801132
44,74,0.19696330727467465
3,74,0.06307367078094898
6,6,0.11393218960479459
6,34,0.07171155344080771
5,5,0.10460885645378167
7,2349,0.06539080524997087
14,14,0.07897141841873387
10,11,0.12466228128684334
90,3029,0.03650417925486724
4,90,0.016884014534157544
2,44,0.09691746792623841
2,38,0.025291394830065837
16,53,0.20110240836806964
29,53,0.09164110357515426
8,11,0.10413103429365199
6,21,0.06819461946844706
3,139,0.09216422098536797
7,18,0.06335867981478097
30,65,0.1073984643071804
7,26,0.16926424930107115
26,23813,0.26448859351997067
45,49,0.15687505440715532
4,5,0.02580041006424198
6,97,0.14020263935147187
5,6,0.07091064160854901
28,1570,0.052805930482760735
28,34,0.06948532149292519
3,7,0.10095194456084267
26,770,0.22489372431113758
20,251,0.2374840968257529
25,251,0.16495019009447287
110,257,0.049151058843611636
110,340,0.0733816515048467
3,10,0.07482534561224706
12,12,0.0630380746840687
34,416,0.08443248977204851
2,416,0.09834868934030129
5,25,0.03311719593231118
8,25,0.1406945791082298
2,3,0.045826114080141096
3,246,0.12234658189082323
13,31,0.10143238461309285
5,584,0.15665319030924102
6,584,0.17601992167688696
8,24,0.24200721376118794
2,5,0.12782131930738239
25,1205,0.18131190445781661
33,1205,0.1414868311693664
2,3,0.1894666537509414
2,5,0.09019106904855881
9,20,0.030425302171855028
8,45,0.09906175998654673
20,76,0.17964506492215548
6,76,0.1652436017167499
3,5,0.016137338254187134
2,147,0.07175456589365753
147,157,0.08855152029686114
3,26,0.2076102643534814
32,484,0.03022942253001042
2,20,0.10607174820733564
6,14,0.07383454933024089
3,130,0.027607813835255048
8,9,0.03290476233599023
3,39,0.05463613848997035
3,7,0.16514002807493536
39,391,0.11942501231286443
7,101,0.22070518053070032
4,8,0.0571462843914119
5,8,0.14659878726582154
3,87,0.024965731921766238
13,21,0.055408939301166915
28,1009,0.006896484141634823
3,3,0.1266985863752829
25,221,0.048810020466552216
3,5,0.03972632668742832
8,57,0.04956295650095288
3,10,0.0626486573860939
5,63,0.22091146223480912
6,6,0.015600350052842472
4,6,0.025772121682821447
10,96,0.1649167615946483
35,131,0.19009442308220587
39,256,0.1591317563506177
39,176,0.12877070606373014
9,39,0.1962837576364273
16,409,0.10880648226196028
9,634,0.17791990655285603
42,57,0.001461428104966382
69,97,0.026073776619610113
14,69,0.20136665395441972
22,121,0.13049276674820734
69,121,0.27729160548977616
5,28,0.0
5,167,0.07400310531442451
3,15,0.06805663430247921
2,3,0.2175283143001967
2,3,0.02564040760515319
3,10,0.08577513648045088
4,24,0.1776378857540342
9,24,0.08088692177065285
10,99,0.0260635677480158
2,5,0.024666794206643528
6,1466,0.016248344003294887
13,23,0.09523165961439767
23,24637,0.017325230784668192
33,51,0.09753488477176683
8,332,0.1629261278145908
29,49,0.11736893319951709
29,37,0.17064573974729033
29,431,0.16814918454258043
3,8,0.05729547329498197
2,5,0.01952833328304016
2,92,0.15392984938022108
4,13,0.02437490900572339
4,30,0.16552112677391478
30,774,0.13906335263914588
13,28,0.11738764437588717
15,17,0.05886278620148699
44,1092,0.20075442190558587
87,446,0.14975187650698918
6,64,0.02137216240245656
64,156,0.05833408628469279
12,64,0.09286202705400905
9,25,0.05288719436547955
7,25,0.03533244657832733
2,3,0.09266877971185605
4,6,0.22535251501581155
