s_raw,s_eff,cosine
1,1.0,0.04083708150125941
1,1.0,0.14526705028993173
1,1.0,0.06570893114801132
1,1.0,0.19696330727467465
1,1.0,0.06307367078094898
1,1.0,0.11393218960479459
1,1.0,0.07171155344080771
1,1.0,0.10460885645378167
1,1.0,0.06539080524997087
1,1.0,0.07897141841873387
1,1.0,0.12466228128684334
1,1.0,0.03650417925486724
1,1.0,0.016884014534157544
1,1.0,0.09691746792623841
1,1.0,0.025291394830065837
1,1.0,0.20110240836806964
1,1.0,0.09164110357515426
1,1.0,0.10413103429365199
1,1.0,0.06819461946844706
1,1.0,0.09216422098536797
1,1.0,0.06335867981478097
1,1.0,0.1073984643071804
1,1.0,0.16926424930107115
1,1.0,0.26448859351997067
1,1.0,0.15687505440715532
1,1.0,0.02580041006424198
1,1.0,0.14020263935147187
1,1.0,0.07091064160854901
1,1.0,0.052805930482760735
1,1.0,0.06948532149292519
1,1.0,0.10095194456084267
1,1.0,0.22489372431113758
1,1.0,0.2374840968257529
1,1.0,0.16495019009447287
1,1.0,0.049151058843611636
1,1.0,0.0733816515048467
1,1.0,0.07482534561224706
1,1.0,0.0630380746840687
1,1.0,0.08443248977204851
1,1.0,0.09834868934030129
1,1.0,0.03311719593231118
1,1.0,0.1406945791082298
1,1.0,0.045826114080141096
1,1.0,0.12234658189082323
1,1.0,0.10143238461309285
1,1.0,0.15665319030924102
1,1.0,0.17601992167688696
1,1.0,0.24200721376118794
1,1.0,0.12782131930738239
1,1.0,0.18131190445781661
1,1.0,0.1414868311693664
1,1.0,0.1894666537509414
1,1.0,0.09019106904855881
1,1.0,0.030425302171855028
1,1.0,0.09906175998654673
1,1.0,0.17964506492215548
1,1.0,0.1652436017167499
1,1.0,0.016137338254187134
1,1.0,0.07175456589365753
1,1.0,0.08855152029686114
1,1.0,0.2076102643534814
1,1.0,0.03022942253001042
1,1.0,0.10607174820733564
1,1.0,0.07383454933024089
1,1.0,0.027607813835255048
1,1.0,0.03290476233599023
1,1.0,0.05463613848997035
1,1.0,0.16514002807493536
1,1.0,0.11942501231286443
1,1.0,0.22070518053070032
1,1.0,0.0571462843914119
1,1.0,0.14659878726582154
1,1.0,0.024965731921766238
1,1.0,0.055408939301166915
1,1.0,0.006896484141634823
1,1.0,0.1266985863752829
1,1.0,0.048810020466552216
1,1.0,0.03972632668742832
1,1.0,0.04956295650095288
1,1.0,0.0626486573860939
1,1.0,0.22091146223480912
1,1.0,0.015600350052842472
1,1.0,0.025772121682821447
1,1.0,0.1649167615946483
1,1.0,0.19009442308220587
1,1.0,0.1591317563506177
1,1.0,0.12877070606373014
1,1.0,0.1962837576364273
1,1.0,0.10880648226196028
1,1.0,0.17791990655285603
1,1.0,0.001461428104966382
1,1.0,0.026073776619610113
1,1.0,0.20136665395441972
1,1.0,0.13049276674820734
1,1.0,0.27729160548977616
1,1.0,0.0
1,1.0,0.07400310531442451
1,1.0,0.06805663430247921
1,1.0,0.2175283143001967
1,1.0,0.02564040760515319
1,1.0,0.08577513648045088
1,1.0,0.1776378857540342
1,1.0,0.08088692177065285
1,1.0,0.0260635677480158
1,1.0,0.024666794206643528
1,1.0,0.016248344003294887
1,1.0,0.09523165961439767
1,1.0,0.017325230784668192
1,1.0,0.09753488477176683
1,1.0,0.1629261278145908
1,1.0,0.11736893319951709
1,1.0,0.17064573974729033
1,1.0,0.16814918454258043
1,1.0,0.05729547329498197
1,1.0,0.01952833328304016
1,1.0,0.15392984938022108
1,1.0,0.02437490900572339
1,1.0,0.16552112677391478
1,1.0,0.13906335263914588
1,1.0,0.11738764437588717
1,1.0,0.05886278620148699
1,1.0,0.20075442190558587
1,1.0,0.14975187650698918
1,1.0,0.02137216240245656
1,1.0,0.05833408628469279
1,1.0,0.09286202705400905
1,1.0,0.05288719436547955
1,1.0,0.03533244657832733
1,1.0,0.09266877971185605
1,1.0,0.22535251501581155
1,1.0,0.038944462306585804
1,1.0,0.09612623572260594
1,1.0,0.0803894147187437
1,1.0,0.1631975595664374
1,1.0,0.2194621899970176
1,1.0,0.17050606292611076
1,1.0,0.024040199767782437
1,1.0,0.15705970350325918
1,1.0,0.03217242504964935
1,1.0,0.06958852692175779
1,1.0,0.1457997510960673
1,1.0,0.09772496047435074
1,1.0,0.055332813609728596
1,1.0,0.16197450822828388
1,1.0,0.03666873647640627
1,1.0,0.1530485147599179
1,1.0,0.11623996855650584
1,1.0,0.19775696741787696
1,1.0,0.09702196022814291
1,1.0,0.176262355155159
1,1.0,0.01824210925534568
1,1.0,0.03334712651815853
1,1.0,0.1141667167285057
1,1.0,0.2133598568005604
1,1.0,0.14632441029691773
1,1.0,0.018835303559155657
1,1.0,0.07151739572786006
1,1.0,0.13646802736285438
1,1.0,0.10180070099225519
1,1.0,0.10254598925702325
1,1.0,0.13120394599002433
1,1.0,0.07700871060224553
1,1.0,0.18851592912716908
1,1.0,0.1333541739606684
1,1.0,0.18200128653963993
1,1.0,0.0710711162606099
1,1.0,0.07491730868447444
1,1.0,0.019876330660419862
