source,target,flow,entropyStoT,entropyTtoS
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222gkkf6gua6m6p72fivygtm,,6.376998449070222,28.782684198792083
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222gnnbi5wqbs7y2tt3dbowe,,6.836964319073064,32.036707096242
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222gpdtiw4g6ffhegtnfnsdn,,6.690452845035801,147.9817360155617
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222gq5265jeqn65bbmfngj5x,,7.9116267796188025,21.101931040658084
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222grjo3q3q2estvs5zvd5em,,7.362484938845201,11.043085794868869
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222gsbsc5xvbp2rbqbmdpcna,,6.731414801229898,
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222h2mlywhk66vxhppzge36x,,6.75165395124769,29.14548931207113
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222h35q7urjpjafryjwqn3ae,,6.4414279890683,11.604610888207086
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222h6nrxr4ka2qhocwfgfui4,,6.505644019238217,11.108141962211098
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222hbrrra2yo6a2pvjszr3ho,,7.499188903226942,8.0661656266226
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222i3v7772nzw2dnfmxh2lut,,8.124121311829187,5.342255834823723
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222i4tnzyxputn4qiycgdg5o,,7.731922351947778,19.719372854815543
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222i7n4wvs3hu4zjayfzbo4o,,6.724521770683145,10.86854885233674
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ib5azw3pbmk7bpuawpr7b,,8.124121311829187,35.242185388584225
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ifpmnjoofv7nsyprtbfcd,,6.657266074971139,820.6287053859769
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ig7ufci4jg6rwzgz57z3w,,8.124121311829187,18.118815682980106
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222iga42j3km2zc2s7cyplgr,,5.8029437941637045,8.637572512980988
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222igfmxzwtktfc73lzfea4e,,7.853317268101548,37.64935271223868
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222im4wezhrlffyela73txkb,,10.832161749105584,5.283796283592573
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ioioivd6gubiwakh444r4,,6.1813966503048166,
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222iou6cpnbof6gf2m7o763m,,8.044136995116382,9.358799367375196
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222iv3ziqqczko2cr5cin7qw,,8.092754048076952,11.17566202131544
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ixwykjqamhfuf3dikr5c5,,8.124121311829187,2.2110226885060125
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222j3u6rziigfuwo5prpu4hc,,6.189806713774619,9.0
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222j5a6zbtaw4gj7xhiix4rj,,6.874256494624697,12.699755547365868
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222j626brn37g5na5zfmsc5e,,5.95768896200807,38.60725686399224
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222j7fqlv5njnyjyxxt6dxer,,,1.0
